"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6"
"limnic",-3.54580984769955,-0.0799587112982275,0.20044430353009,0.320145310460849,0.134066416370149,-0.170551282679163
"terrestrial",1.01663079549428,0.0229252249176736,-0.0574700450680678,-0.0917899141880757,-0.0384386228753573,0.0488993188101096
"Belowground_feeding_burrowing",1.09089830333511,-1.1953393873586,-0.603485378761924,-0.140324313260017,-0.375409172342643,0.038059309674833
"Belowground_feeding_grubbing",-3.50300916089488,0.0672623201616094,-0.208581004078906,0.599347905256373,0.018363091169822,-1.04547748522619
"Belowground_feeding_none",-0.0689928334872024,1.23594274460932,0.698612117389379,-0.036894308190148,0.389010742872064,0.28167431092426
"immobile",1.12572842012004,-0.259851256165797,-0.108797757184684,-0.11647842591676,-0.121826587498919,-0.0155720020021751
"mobile",-2.57309353170295,0.593945728378965,0.248680587850707,0.266236402095451,0.278460771426099,0.0355931474335421
"Elton.Plant_Others",0.113236799508754,0.505248971832347,-0.330665292026438,0.485382050945343,0.307529146759542,0.023458083343939
"Litter_clutch_size",-0.306953100627728,-0.476978655085506,0.334455867063928,-0.133673416251374,0.150114576819407,0.578745206502932
"diet_item_forb",0.0833495205791081,0.102835939148039,-0.673566328783944,-0.173267183041337,0.181069859319288,0.0533516095274031
"diet_item_graminoid",-0.377308118213015,-0.286387962920729,-0.59794457895717,-0.0733886976973299,0.115871704747791,-0.0973151707454239
"diet_item_shrub",0.448404091815892,0.449371019498482,0.0761209949078381,0.118320434809319,0.291800592647333,-0.0799622793649417
"diet_item_moss",0.0165467546801837,0.114821922520475,-0.208444725237186,0.712537789745736,-0.428480546855143,0.223733511617184
"diet_item_lichen",0.249811306753452,0.37959238986245,-0.0730417743746703,0.140945242497439,-0.695794109214566,0.0134750783119691
"body_mass_log",-0.35134880596316,0.789748470598775,-0.0299272221584102,-0.0918003417453324,0.15151666446902,-0.17977196752179
"group_size_summer_order",0.413570297464538,-0.477361222642435,0.409522837100416,0.382958888104381,0.0534013580113285,-0.274872812735244
"group_size_winter_order",0.515114005816812,-0.444994376179702,0.263096911844219,0.256648535141716,0.278792597301106,-0.314372526836516
"population_dynamics_order",0.528977799015375,-0.292407512482977,-0.166729791489418,0.32162037578341,0.333733351186266,0.178030867045428
"gut_type_order",0.773912788376264,0.396568733985588,-0.167512311311173,-0.184432998187266,-0.0322982136494071,0.0374932535067831
"diet_type_order",-0.211134458222461,0.294065743545233,0.438768211667058,0.238404366527916,0.0213111245015066,0.308737554605738
"wintering_strategy_order",0.782738954302225,0.371794196834836,0.0997321566659403,-0.108272052459722,0.17293539304382,0.0836709811005269
"Use_of_vegetation_order",0.173930366528032,0.228622733741507,0.583492498346192,-0.235467234004157,-0.235016665577707,-0.237133652523329
